timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
2024-11-27T10:57:11,codecarbon,18e44ef1-402a-4cea-a208-e01e6222e6db,17.99954104423523,3.3704231612428948e-06,1.8725050560788332e-07,42.5,0.0,6.0,0.0002124939287702,0,2.9998656511306764e-05,0.0002424925852815,Canada,CAN,british columbia,,,macOS-15.1.1-arm64-arm-64bit,3.10.15,2.2.2,8,Apple M2,,,-122.84,49.4645,16.0,machine,N
2024-11-27T10:58:00,codecarbon,e833b790-e95f-428d-aec0-4f752652499c,9.22046685218811,1.726537543493333e-06,1.8725055587435989e-07,42.5,0.0,6.0,0.000108852404356,0,1.5367176532745362e-05,0.0001242195808887,Canada,CAN,british columbia,,,macOS-15.1.1-arm64-arm-64bit,3.10.15,2.2.2,8,Apple M2,,,-122.84,49.4645,16.0,machine,N
2024-11-27T11:37:44,codecarbon,b714c95e-9721-4054-b235-1f403d6f7bcf,0.0146870613098144,2.734792537031955e-09,1.8620420241620857e-07,42.5,0.0,6.0,1.727837655279372e-07,0,2.3976961771647145e-08,1.967607272995843e-07,Canada,CAN,british columbia,,,macOS-15.1.1-arm64-arm-64bit,3.10.15,2.2.2,8,Apple M2,,,-122.84,49.4645,16.0,machine,N
2024-11-27T11:37:49,codecarbon,1d904754-d1f4-4469-a3f0-58df5c490ccf,1.2931849956512451,2.421415240028402e-07,1.872443036511557e-07,42.5,0.0,6.0,1.526640140348011e-05,0,2.155008713404338e-06,1.7421410116884444e-05,Canada,CAN,british columbia,,,macOS-15.1.1-arm64-arm-64bit,3.10.15,2.2.2,8,Apple M2,,,-122.84,49.4645,16.0,machine,N
2024-11-27T11:38:09,codecarbon,79cdee10-c221-47a9-907b-5d38f9c1ed72,15.820636749267578,2.9623081545766996e-06,1.872432950408169e-07,42.5,0.0,6.0,0.0001867680678764,0,2.6361776192982993e-05,0.0002131298440694,Canada,CAN,british columbia,,,macOS-15.1.1-arm64-arm-64bit,3.10.15,2.2.2,8,Apple M2,,,-122.84,49.4645,16.0,machine,N
2024-11-27T11:39:23,codecarbon,3e06994b-22eb-4084-9e83-aab4158b3b16,9.241338729858398,1.730445422446507e-06,1.8725051348410233e-07,42.5,0.0,6.0,0.0001090987972087,0,1.5401944716771446e-05,0.0001245007419255,Canada,CAN,british columbia,,,macOS-15.1.1-arm64-arm-64bit,3.10.15,2.2.2,8,Apple M2,,,-122.84,49.4645,16.0,machine,N
2024-11-27T11:52:11,codecarbon,181cfe50-b6f0-4eab-9651-ed5ba576fe8f,0.013336181640625,2.4846210212886312e-09,1.863067771752537e-07,42.5,0.0,6.0,1.569315791130066e-07,0,2.1830002466837565e-08,1.7876158157984417e-07,Canada,CAN,british columbia,,,macOS-15.1.1-arm64-arm-64bit,3.10.15,2.2.2,8,Apple M2,,,-122.84,49.4645,16.0,machine,N
2024-11-27T11:52:16,codecarbon,96394dbd-3bb0-406a-9598-335c04073243,0.9335081577301024,1.7479210591526625e-07,1.8724218365727708e-07,42.5,0.0,6.0,1.1020334727234313e-05,0,1.5554718176523845e-06,1.2575806544886695e-05,Canada,CAN,british columbia,,,macOS-15.1.1-arm64-arm-64bit,3.10.15,2.2.2,8,Apple M2,,,-122.84,49.4645,16.0,machine,N
2024-11-27T11:52:35,codecarbon,b1841754-a16e-498a-8a27-7c45ded72cea,14.665271997451782,2.7460835257746833e-06,1.8725077354527345e-07,42.5,0.0,6.0,0.0001731313877635,0,2.4441694815953577e-05,0.0001975730825795,Canada,CAN,british columbia,,,macOS-15.1.1-arm64-arm-64bit,3.10.15,2.2.2,8,Apple M2,,,-122.84,49.4645,16.0,machine,N
2024-11-27T11:53:33,codecarbon,3c12684a-46bc-4f77-9976-09e3965fe897,54.83129000663757,1.0267164768431055e-05,1.8725010422312094e-07,42.5,0.0,6.0,0.0006473116364743974,0,9.138235211372377e-05,0.0007386939885881212,Canada,CAN,british columbia,,,macOS-15.1.1-arm64-arm-64bit,3.10.15,2.2.2,8,Apple M2,,,-122.84,49.4645,16.0,machine,N
